Produto;Marca;Nome_Completo;Categoria;tipo_cabelo;problema;tratamento
condicionador;clear;condicionador anticaspa clear hidratação intensa 200ml;cabelo;ondulado;ressecamento;hidratação
condicionador;dove;dove condicionador cachos ativos + biotina 370ml;cabelo;cacheado;ressecamento;hidratação
condicionador;dove;condicionador dove hidratação + hialuron-vit frasco 370ml;cabelo;liso;ressecamento;hidratação
condicionador;elseve;condicionador l'oréal paris elseve glycolic gloss 400ml;cabelo;ondulado;ressecamento;hidratação
condicionador;elseve;condicionador elseve liso dos sonhos 400ml;cabelo;liso;ressecamento;hidratação
condicionador;elseve;l'oréal paris elseve condicionador restaurador reparação total 5+, complexo reparador com micro queratina, 400ml;cabelo;crespo;ressecamento;hidratação
condicionador;garnier;condicionador garnier fructis damage eraser 350ml;cabelo;liso;ressecamento;hidratação
condicionador;garnier;condicionador fructis liso absoluto 300ml;cabelo;liso;ressecamento;hidratação
condicionador;garnier;condicionador garnier fructis sleek & shine - 620ml;cabelo;crespo;ressecamento;hidratação
condicionador;l'oréal;l'oréal professionnel condicionador inforcer, para cabelos fracos e frágeis, fornece força e previne quebras, com biotina e vitamina b6, 200ml;cabelo;cacheado;ressecamento;hidratação
condicionador;l'oréal;l'oréal paris elseve condicionador óleo extraordinário nutrição, brilho e maciez intensos, 400ml;cabelo;crespo;ressecamento;hidratação
condicionador;l'oréal;condicionador abs repair gold quinoa loreal 1,5l, loreal;cabelo;cacheado;ressecamento;hidratação
condicionador;lola cosmetics;ondulados inc condicionador 500ml , lola cosmetics;cabelo;ondulado;ressecamento;hidratação
condicionador;lola cosmetics;cuca fresca condicionador reequilibrante 250g;cabelo;ondulado;ressecamento;hidratação
condicionador;lola cosmetics;lola from rio - morte subita - condicionador hidratante para todos os tipos de cabelos secos e danificados, vegano, sem crueldade, sem parabenos, sem sulfatos, 250 g;cabelo;crespo;ressecamento;hidratação
condicionador;natura;condicionador reparador tododia flor de cereja e abacate 280 ml;cabelo;ondulado;ressecamento;hidratação
condicionador;natura;refil condicionador lumina restaurador para restauração e liso prolongado;cabelo;liso;ressecamento;hidratação
condicionador;niely;condicionador niely gold cachos definição prolongada 175ml;cabelo;cacheado;ressecamento;hidratação
condicionador;niely;condicionador gold nutrição mágica óleo de coco + abacate, niely, branco, 175ml;cabelo;ondulado;ressecamento;hidratação
condicionador;niely;condicionador niely gold reconstrução potente 275ml;cabelo;cacheado;ressecamento;hidratação
condicionador;novex;condicionador novex óleo de argan 300ml;cabelo;ondulado;ressecamento;hidratação
condicionador;o boticário;condicionador match science crescimento 280ml;cabelo;liso;ressecamento;hidratação
condicionador;o boticário;o boticario men condicionador 200ml;cabelo;liso;ressecamento;hidratação
condicionador;o boticário;condicionador match fonte da nutrição 280ml;cabelo;ondulado;ressecamento;hidratação
condicionador;pantene;pantene pro-v condicionador hidratação 400ml;cabelo;ondulado;ressecamento;hidratação
condicionador;salon line;salon line, condicionador, sos bomba, antiqueda - todos os tipos de cabelos, 300 ml;cabelo;liso;ressecamento;hidratação
shampoo;seda;shampoo anticaspa seda 325ml;cabelo;ondulado;oleosidade;limpeza
condicionador;seda;seda condicionador ceramidas 325ml;cabelo;cacheado;ressecamento;hidratação
condicionador;seda;condicionador seda anti-quebra mel e oleos 325ml;cabelo;crespo;ressecamento;hidratação
shampoo;skala;shampoo skala 325ml anticaspa men 2 em 1;cabelo;ondulado;oleosidade;limpeza
condicionador;skala;skala condicionador uso diário mais lisos 325 ml skala;cabelo;liso;ressecamento;hidratação
condicionador;tresemmé;condicionador tresemmé detox capilar 400ml;cabelo;liso;ressecamento;hidratação
condicionador;tresemmé;tresemmé reconstrução e força condicionador 650 ml;cabelo;crespo;ressecamento;hidratação
creme de tratamento;clear;creme de tratamento clear hidratação intensa 350g;cabelo;cacheado;frizz;hidratação
creme de pentear;l'oréal;creme para pentear super gloss l'oréal paris elseve glycolic gloss 250ml;cabelo;ondulado;frizz;hidratação
creme de pentear;skala;skala creme para pentear skala 250g bomba de vitaminas skala;cabelo;crespo;frizz;hidratação
creme de pentear;dove;dove creme pentear reconstrução 200ml;cabelo;liso;frizz;hidratação
creme de pentear;elseve;l'oréal paris elseve liso dos sonhos creme para pentear, com queratina vegetal e aha, frizz controlado por 72h, proteção térmica até 230°c e alinhamento capilar, 250ml;cabelo;liso;frizz;hidratação
creme de pentear;inoar;inoar, liso extraordinário creme para pentear antifrizz com brilho espelhado 250ml;cabelo;liso;frizz;hidratação
creme de pentear;elseve;elseve reparação total 5, creme milagroso 3 em 1, tratamento intensivo para cabelos danificados, repara os fios, combate quebra e ressecamento, com cicatri-ceramida, 500ml;cabelo;liso;frizz;hidratação
creme de pentear;l'oréal;l'oréal paris elseve creme para pentear anti-corte longo dos sonhos, cuida do comprimento e lacra as pontas, 250 ml;cabelo;ondulado;frizz;hidratação
creme de pentear;l'oréal;creme pentear elseve quera liso 250ml;cabelo;liso;frizz;hidratação
shampoo;l'oréal;elseve l'oréal paris hidra hialurônico - shampoo 400ml;cabelo;ondulado;oleosidade;limpeza
shampoo;lola cosmetics;meu cacho minha vida shampoo 500ml , lola cosmetics;cabelo;crespo;oleosidade;limpeza
shampoo;lola cosmetics;lola cosmetics - morte subita - shampoo hidratante para cabelos secos e danificados que foi quimicamente tratado vegano, livre de crueldade, sem parabenos, sem sulfatos, 250 ml;cabelo;cacheado;oleosidade;limpeza
shampoo;skala;skala shampoo bomba vitaminas de abacate 325 ml skala;cabelo;ondulado;oleosidade;limpeza
shampoo;skala;skala shampoo 325ml mais cachos;cabelo;cacheado;oleosidade;limpeza
shampoo;dabelle;dabelle shampoo 250ml - cachos da onda;cabelo;cacheado;oleosidade;limpeza
shampoo;dove;dove shampoo bond intense repair + peptídeo 350ml;cabelo;liso;oleosidade;limpeza
shampoo;lola cosmetics;ondulados inc shampoo 500ml, lola cosmetics;cabelo;ondulado;oleosidade;limpeza
óleo;l'oréal;l'oréal paris elseve óleo extraordinário finalizador capilar, nutrição profunda com 6 óleos preciosos, anti-frizz, proteção térmica até 230°c, brilho intenso para todos os tipos de cabelo, 100ml;cabelo;ondulado;ressecamento;nutrição
óleo;lola cosmetics;óleo capilar lola argan oil 50ml-loreto;cabelo;ondulado;ressecamento;nutrição
óleo;pantene;óleo capilar milagroso nutrição brilho e proteção pro-v miracles 95ml pantene;cabelo;crespo;ressecamento;nutrição
óleo;salon line;salon line, óleo 10 em 1 multibenefícios, sos cachos, vegano - para cabelos cacheados e crespos, 42ml;cabelo;crespo;ressecamento;nutrição
óleo;l'oréal;l'oréal paris elseve liso dos sonhos, sérum leave-in com tecnologia ativada por calor para efeito liso por 1 semana, antifrizz, protetor térmico e barreira contra umidade, 100ml;cabelo;liso;ressecamento;nutrição
óleo;lola cosmetics;pinga açaí e pracaxi óleo 50ml , lola cosmetics;cabelo;crespo;ressecamento;nutrição
óleo;dabelle;duty - oleo reparador dabelle 75ml abacate nutritivo;cabelo;ondulado;ressecamento;nutrição
óleo;lola cosmetics;danos vorazes óleo reparador 50ml , lola cosmetics;cabelo;ondulado;ressecamento;nutrição
óleo;lola cosmetics;liso leve e solto spray antifrizz 200ml , lola cosmetics;cabelo;liso;ressecamento;nutrição
óleo;ox;óleo capilar nutritivo 3 em 1 nutre ox para nutrição, controle de frizz e selamento 120ml;cabelo;crespo;ressecamento;nutrição
